educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,La Union,Philippines,Female,"Freecodecamp, Kaggle Online course, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Makati,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Data Analyst, Business Analyst",2 to 3,Don't know,,Don't know,Don't know,"Power BI, Tableau",Don't know,Don't know,Don't know,Don't know,Don't know,"Google sheets, Excel, Google Drive, OneDrive, Monday.com, MS Teams","Python, SQL",Chatgpt,Code Ocean,laptop,"No, I just found out now.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines, Project SPARTA","Continued learning, Upskill / Skill acquisition",Answer surveys,,LinkedIn,Multinational employer,25 to 29
College degree,"Naga City, Camarines Sur",Philippines,Male,"Coursera, Udemy",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord",M language (Power Query),"Chatgpt, Copilot, Gemini",,desktop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Upskill / Skill acquisition",Answer surveys,,,,20 to 24
College degree,Batangas,Philippines,Male,"Coursera, Datacamp, Git Hub Learning Lab, Google Developers, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning",Answer surveys,,,,20 to 24
College degree,"Valenzuela, Philippines",Philippines,Male,"LinkedIn Learning, W3Schools",Education,Professional,Work city different from residence,Mandaluyong City,"65,001 to 75,000",Full-time,Hybrid,Software Engineer,Business Analyst,6 to 10,,,,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Trello, Google Meet, Slack","Appscript (Google), SQL",Chatgpt,Databricks Collaborative Notebooks,laptop,"No, I just found out now.",,"DEVCON Community Group, DEVCON Philippines, PyData Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",Frequent meetups in multiple locations so that it will be accessible to more users who want to connect,Headhunt,Local employer,25 to 29
College degree,"Zamboanga Del Norte, Philippines",Philippines,Male,"Udemy, Youtube bootcamp",Not working,Career shifter,Work city different from residence,"Ayala, Makati","35,001 to 45,000",Full-time,100% onsite,Academic,"Analytics Engineer, Product Advocate, UI/UX Designer",4 to 5,In house tools developed using Python,"ACL, Azure Data Factory","Databricks, Snowflake, Sqlite, microsoft sql server",ZenML,Power BI,,,,"Amazon Web Services (AWS), Microsoft Azure",,"Google sheets, Excel, Google Drive, Google Meet, Slack","DAX (Power BI), Javascript, SQL, VBA",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Ethics PH, Datasense Philippines, Digital Analytics Philippines, Power BI Philippines UG, Project SPARTA, PyData Philippines, Python Philippines",,"Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic",,JobStreet,Local employer,25 to 29
College degree,"Pasig, Philippines",Philippines,Male,"AWS Cloud Certification, Coursera, Datacamp",Government,Career shifter,Work city different from residence,Taguig City,"125,001 to 250, 000",Full-time,100% onsite,IT hardware,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Cloud Architect",4 to 5,,,,,"Power BI, R",,,,,"PostgreSQL, InfluxDB","Google sheets, Excel, Google Drive, OneDrive, Monday.com, MS Teams","Python, SQL",Chatgpt,Google Cloud Vertex AI Workbench,desktop,"No, I just found out now.",,"AI Pilipinas, Community: SPARTA PH, PizzaPy - Cebu Python Users Group, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",,"Indeed, My network  - people I know",Local employer,40 to 44
College degree,"Manila, Philippines",Philippines,Male,"Cisco, Datacamp, LinkedIn Learning, MicrosoftLearn, Udemy, W3Schools, Youtube bootcamp",Shipping,Professional,Work city different from residence,Borongan City ,"35,001 to 45,000",Contract fixed timeline,100% onsite,Developer,"Analytics Engineer, Product Advocate, UI/UX Designer",1 - Just me,Don't know,"Pandas, Spark",Various RDBMS,,Google Sheets,,,,"Amazon Web Services (AWS), Snowflake",MongoDB,"Google sheets, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL",Copilot,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, DEVCON Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",,My network  - people I know,Local employer,25 to 29
College degree,"Davao City, Philippines",Philippines,Female,"Coursera, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","DAX (Power BI), SQL, VBA",Chatgpt,,laptop,"No, I just found out now.",,,"Career advancement, Continued learning, Decision to shift","Answer surveys, Connect with sponsors, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",setting a clear guideline for learner.,,Multinational employer,
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Discord","DAX (Power BI), SQL, VBA","No, I do not use AI currently",Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines, Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training",Make a AI base chatbot to answer common/usual question provide by the member.,,Local employer,20 to 24
College degree,"Pasig, Philippines",Philippines,Female,"Freecodecamp, Khan Academy, W3Schools",Student,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Discord","Python, SQL","No, I do not use AI currently","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Data Science Philippines, Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training",no,,,20 to 24
College degree,"Calgary, Alberta",Canada,Female,"Datacamp, MicrosoftLearn",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord","DAX (Power BI), M language (Power Query), SQL","Chatgpt, Not for work.",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Community: SPARTA PH,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",More hackathons and learning sessions; projects to collaborate with,,,35 to 39
College degree,"Taguig, Philippines",Philippines,Male,"Kaggle Online course, Udemy",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,"Don't know, None",,,"MongoDB, PostgreSQL","Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",,"Chatgpt, Copilot, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Science Philippines Discussion Group (Moderated), Project SPARTA","Decision to shift, Upskill / Skill acquisition","Answer surveys, Resource for specific topic, Volunteer for group initiatives",Regular knowledge check and ways to improve the newly learned skill each week otherwise add some more.,,,20 to 24
College degree,"Quezon City, Philippines",Philippines,Male,"AWS Cloud Certification, Coursera, Datacamp, Git Hub Learning Lab, LinkedIn Learning, MicrosoftLearn, Udemy, W3Schools",Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Google Meet","DAX (Power BI), M language (Power Query)",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas, AIM-Master of Science in Data Science, Amagi Academy: Tech Courses and Communities, Analytics Association of the Philippines, Analytics for Pinoys, APAC Azure Data Communities, Data and Analytics Manila, Data Ethics PH, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), Data Science World - R & Python Free Courses, Databeers Manila, DataScience and BigData Cebu, DataScience.PH, Datasense Philippines, DataSpark - Manila Meetups, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Gteknolohiya, Java User Group Philippines, Manila Analytics Freelancers, MS in Data Science - AIM Group, North Luzon Analytics Freelancers, Ph Cyber Geeks, Power BI Philippines UG, Power BI Users Meetup, Programmers,Developers, Project SPARTA, PyData Philippines, Python Philippines, Software DevOps & Data, South Luzon Analytics Freelancers, SPARTA PH: Data Engineer",Upskill / Skill acquisition,"Answer surveys, Coordinate during events, Volunteer for group initiatives",I don't have any suggestion at the moment since I saw that the DEP group is a little more active than the other data-related communities I joined ,,Not Applicable,20 to 24
College degree,"Taguig, Philippines",Philippines,Male,"AWS Cloud Certification, Codecademy, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,Don't know,Don't know,,,,,"Microsoft Azure, Snowflake, Databricks",,"Google sheets, Excel, Google Drive, Google Meet, Notion",Javascript,"Chatgpt, Claude",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, Project SPARTA",,Answer surveys,Keep sharing knowledge/ideas,,Local employer,25 to 29
College degree,"Quezon City, Philippines",Philippines,Female,"Datacamp, Udemy",Banking / Finance / Insurance,Professional,Work city different from residence,"Eastwood, QC","125,001 to 250, 000",Full-time,Hybrid,Software Engineer,"Management, Data Engineer, Data Analyst",2 to 3,,,,,Domo,,,,Microsoft Azure,,"Excel, OneDrive, MS Teams, Slack","C#, Java","Chatgpt, Github copilot",,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Women Who Code Manila","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Co-training/ Training",,My network  - people I know,Multinational employer,30 to 34
College degree,Pampanga,Philippines,LGBTQ+,"AWS Cloud Certification, edX, MicrosoftLearn, O'Reilly Online Learning, Real Python, W3Schools",Undergraduate Student,Student/ New grad/ Career Break,,,,,,,,,,,"Big Query, Snowflake",Airflow,,,,,"Microsoft Azure, Snowflake",,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL, Typescript","Chatgpt, Claude",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Resource for specific topic, Volunteer for group initiatives",,,Undergraduate Student,20 to 24
College degree,"Lucena City, Quezon Province",Philippines,Male,MicrosoftLearn,"IT, BPO, and Business Services",Professional,Work city same as residence,Marikina,"85,001 to 95,000",Full-time,100% onsite,Developer,"Data Analyst, BI Developer",11 to 30,,,,,"Metabase, Power BI, Tableau",,,,,,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Slack","Python, SQL",Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.","Azure User Group Manila Meetup, Data Analytics Philippines, Data and Analytics Manila, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,"LinkedIn, My network  - people I know",Local employer,
