Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Quezon City, Philippines",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Professional,Work city same as residence,QC ,"250,001 and above",Full-time,Mostly work from home/ fully remote,trader,"Cloud Architect, Data Platform",6 to 10,Daasity,Daasity,Snowflake,"Airflow, Daasity","Looker, Power BI, Plotly Dash",NA,None,NONE,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake",PostgreSQL,"Excel, OneDrive, MS Teams",M language (Power Query),Chatgpt,na,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, DEVCON Community Group, DEVCON Philippines, Python Philippines","Career advancement, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,None,LinkedIn,Multinational employer,35
College degree,"Quezon City, Philippines",Philippines,Female,"Cisco, W3Schools",Procurement,Student/ New grad/ Career Break,NONE,.,,.,NA,N/A,none,N/A, ,.,na,NONE,NA,N/A,N/A,NONE,N/A,.,"Google sheets, Excel, Dropbox, Google Drive, Trello, Zoom, Google Meet, Discord","Appscript (Google), Python, SQL",Chatgpt,.,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,na,"Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives",NA,na,none,none
College degree,"Quezon City, Philippines",Philippines,Male,Kaggle Online course,Own Business/ Consultancy/Freelance,Ex-ofw,Work city different from residence,abroad,,Other - specify, , ,"Data Scientist, Academic",1 - Just me,_,none,None,na, ,na,_,None,Amazon Web Services (AWS),NA,"Excel, Trello","DAX (Power BI), Javascript, M language (Power Query), Python, R, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.",NONE,"Analytics Association of the Philippines, Big Data Analytics PH, Data Analytics Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Mentor, Co-training/ Training, Volunteer for group initiatives",na,Facebook,NA,22
College degree,"Batangas, Philippines",Philippines,Male,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,none,_,,N/A,N/A,none,NONE,_,NONE,None,none,None,"Oracle BI, Oracle DV","Don't know, None","Don't know, None","Don't know, None",_,"None, not applicable","Google sheets, Google Drive, Discord","Appscript (Google), SQL",Chatgpt,Notiob,laptop,"No, I just found out now.",NONE,Data Analytics Philippines,na,"Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",nothing as of the moment, ,_,NA
College degree,"Manila, Philippines",Philippines,Male,"Datacamp, Khan Academy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Career shifter,Work city same as residence,Quezon city,"15,001 to 25,000",Full-time,100% onsite,Data Analyst,Academic,6 to 10,_,Pandas,_,NONE,"Power BI, Tableau",N/A,na, ,_,NA,"Google sheets, Excel, Google Drive, Slack","Javascript, Python, SQL",Chatgpt,"Colab Notebooks, Databricks Collaborative Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Volunteer for group initiatives,N/A,My network  - people I know,Local employer,20
College degree,"Baguio City, Philippines",Philippines,Male,"Datacamp, Freecodecamp, Git Hub Learning Lab, W3Schools",Telecommunication,Career shifter,Work city different from residence,Makati,"15,001 to 25,000",Full-time,100% onsite,Data Engineer,Data Analyst,2 to 3,In house tools developed using Python,Sql,"Databricks, Snowflake, Sqlite, microsoft sql server",ZenML,  ,  ,None, ,"Google Cloud Platform (GCP), Databricks",na,"Excel, OneDrive, MS Teams","Python, R, SQL","Chatgpt, Gemini",N/a,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",.,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Teach SSRS, if still relevant",Frequent meetups in multiple locations so that it will be accessible to more users who want to connect,LinkedIn,Local employer,35
College degree,"Manila, Philippines",Philippines,Female,"Google Cloudskills Boost, LinkedIn Learning, W3Schools",Not working,Student/ New grad/ Career Break,  ,na,,.,none,.,_,NA,NA,N/A,None,none,_,NA,none,na,N/A,NA,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack",DAX (Power BI),_,  ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Amagi Academy: Tech Courses and Communities, Data Analytics Philippines, Datasense Philippines, FTW Foundation, Manila Artificial Intelligence & Deep Learning, PyData Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events",None,_, ,24
College degree,"Makati, Philippines",Philippines,Male,"Datacamp, edX, LinkedIn Learning, Udemy","IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City - Near SM North EDSA,"15,000 and below",Contract fixed timeline,100% onsite,Multimedia editor and presentation,Software Engineer,11 to 30,none, ,NONE,_,N/A,None, ,NA,NONE,"Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, Apache Cassandra, Elasticsearch, Oracle Database, Apache Hive, Cloudera, Splunk","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","SQL, Java",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Power Apps Pilipinas Community",Upskill / Skill acquisition,"Answer surveys, Co-training/ Training",NONE,My network  - people I know,Local employer,23
Secondary school student,"Siargao, Surigao Del Norte",Philippines,Male,"Freecodecamp, MicrosoftLearn, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,.,na,,  ,none,NONE,_, ,NA,.,AWS Redshift,None,N/A,N/A,_,na,"Amazon Web Services (AWS), Databricks",na,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, MS Teams, Google Meet, Discord","DAX (Power BI), Python","Chatgpt, Perplexity",Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, TheThingsNetwork Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Co-training/ Training",NONE,N/A,none,18
College degree,"Isabela, Philippines ",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Student/ New grad/ Career Break,.,na,, ,_,N/A,NONE,.,none,None,Mongodb,None,none,N/A,_,na,"Amazon Web Services (AWS), Snowflake",  ,"Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord","M language (Power Query), Python, SQL",Chatgpt, ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",NA,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,N/A,na,Local employer,29
College degree,Bohol,Philippines,Male,"Coursera, LinkedIn Learning, Udemy",Healthcare,Professional,Work city same as residence,Remote,"15,001 to 25,000",Full-time,100% onsite,IT engineer,Techinical assistance,4 to 5,none, ,  ,  ,Power BI,None,NONE, ,_,"Oracle Database, IBM Db2","Excel, Google Drive","Appscript (Google), DAX (Power BI), M language (Power Query), SQL, VBA",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",desktop,"No, I just found out now.",none,"Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",NA,Weekly virtual meet that teaches hands on skills for an hour. This is to boost engagement,"LinkedIn, My network  - people I know",Local employer,33
College degree,"Cabuyao, Laguna, Philippines ",Norway,Male,MicrosoftLearn,"IT, BPO, and Business Services",Upskiller,_,Same location,"25,001 to 35,000",Contract fixed timeline,Mostly work from home/ fully remote,Field Engineer,Analytics Engineer,.,ADF,Don't know,"Azure Synapse, Databricks, Snowflake",Amazon ec2,MicroStrategy,ACL,"Don't know, None",Unity Catalog,IBM Cloud,"Apache Kafka, PostgreSQL","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), SQL",Chatgpt,"PythonAnywhere Jupyter Notebook, DataCamp's Datalab",Phone,"No, I just found out now.","Yes, I have used at least one resource.","Data Science Philippines, DataSpark - Manila Meetups",Just curious ,"Answer surveys, Coordinate during events, Joint initiative with other groups, Mentor, Volunteer for group initiatives",Establish Clear Communication Channels,LinkedIn,International Employer,38
College degree,"Quezon City, Philippines",Philippines,Male,"Coursera, Datacamp, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Remote,"15,001 to 25,000",Full-time,100% onsite,Software Engineer,Business Analyst,1 - Just me, ,Pandas,none,none,Power BI,.,_,_,na,na,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL, VBA","No, I do not use AI currently",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",[Manila] BIG DATA Tech Group,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,NONE,Facebook,Local employer,26
College degree,"Pampanga, Philippines",Philippines,Male,Trailhead,Not working,Student/ New grad/ Career Break,none,None,,NA,NONE,  ,_,NA,None,  ,Don't know,none,"Looker, Power BI, Plotly Dash",Don't know,Don't know,na,"Microsoft Azure, Snowflake","Don't know, None","Google sheets, Excel, Google Drive",None,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Data Analytics Philippines,Career advancement,"Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives", ,none, ,21
College degree,Bicol,Philippines,Male,"AWS Cloud Certification, Datacamp, HackerRank","IT, BPO, and Business Services",Career shifter,Work city different from residence,Las Vegas,"15,000 and below",Full-time,Mostly work from home/ fully remote,N/A,Developer,2 to 3, ,None,  ,NONE,N/A, ,none,NONE,N/A,NONE,Excel,"Python, SQL",Chatgpt,_,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",IT Philippines,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives", ,LinkedIn,Multinational employer,25
Other - specify,"Batangas City, Philippines ",Philippines,Male,"Cisco, Datacamp, MicrosoftLearn, W3Schools",Not working,Student/ New grad/ Career Break,NA,NA,,none,NONE,_,  ,_,none,None,na,.,NONE,.,.,none,NONE,na,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord, Obsidian",.,"Chatgpt, Copilot",Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Design Philippines, AI Pilipinas, Analytics Association of the Philippines, Artificial Intelligence Philippines, Data Science Manila, Data Science Philippines","Continued learning, Network, Potential future mentoring opportunities ","Answer surveys, Coordinate during events", ,NA,_,20
College degree,"Pasig, Philippines",Philippines,Male,Freecodecamp,Engineering,Professional,Work city different from residence,"City of Malolos, Bulacan","95,001 to 100,000",Full-time,Mostly work from home/ fully remote,HR Technical Recruiter,Digital Marketing ,6 to 10,"Airbyte, Debezium","Pandas, dbt, Polars",Azure Synapse,Airflow,"Power BI, Tableau",none,  ,dbt,"Amazon Web Services (AWS), Microsoft Azure",PostgreSQL,"Excel, Clickup, MS Teams, Slack, Discord",SQL,Chatgpt,PythonAnywhere Jupyter Notebook,workstation,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Power Apps Pilipinas Community, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives","Not yet. To be honest, I ought to make more time for this and participate more. Will reach out if I have any inputs. Thank you!",LinkedIn,Multinational employer,41
College degree,Batangas,Philippines,Male,"Coursera, Udemy",Freelance,Professional,Work city same as residence,Cebu Vity,"35,001 to 45,000",Full-time,100% onsite,IT engineer,Developer,1 - Just me,.,Pandas,ssis,_,N/A, ,Internal Pyspark Library,na,"Microsoft Azure, I believe our corp utilizes this, but for my role alone, I don't use it as much (to my knowledge)","Splunk, Don't know","Google sheets, Excel, Dropbox, Google Drive, OneDrive","DAX (Power BI), Python","Chatgpt, Copilot, Gemini",Amazon EMR Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, DEVCON Philippines, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",more activity,Indeed,Local employer,29
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, LinkedIn Learning","IT, BPO, and Business Services",Career shifter,Work city different from residence,WFH,"15,001 to 25,000",Full-time,100% onsite,Software Engineer,"Software Engineer, Machine Learning Engineer, Developer",30+,None,"None, I've used Pandas but for studying, not for work applications yet since I don't have a need to use yet",_,.,_,none,None,  ,Don't know,none,"Google sheets, Excel, MS Teams","Python, R, SQL","Chatgpt, Liner",Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AIM-Master of Science in Data Science, Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines, PyData Philippines, Python Philippines, Software DevOps & Data","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Mentor, Resource for specific topic, Co-training/ Training",N/A,My network  - people I know,Local employer,22
College degree,Pateros,Philippines,Male,"AWS Cloud Certification, Cisco, Coursera, Datacamp, Freecodecamp, Google Analytics, Google Cloudskills Boost, Google Developers, Kaggle Online course, LinkedIn Learning, Skillshare, W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,none,_,,None,None,None,  ,NA,NONE,.,Workspace ,_,.,_,N/A,none,Google Cloud Platform (GCP),none,Excel,"Python, SQL",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Programmers,Developers, Project SPARTA",_,Answer surveys,have a weekly huddle or something, ,na,29
